PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Li_IVe2CcTfpR1;CC_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var118;120;160;200;4800;4820;4840
LOCATION, INTERFACE;Li_IVe2CcTfpR2;CC_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var119;360;400;440;4800;4820;4840
LOCATION, INTERFACE;Li_IVe2CcVtGvTfpR1;CC_VT_GV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var120;120;160;200;4880;4900;4920
LOCATION, INTERFACE;Li_IVe2CcVtGvTfpR2;CC_VT_GV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var121;360;400;440;4880;4900;4920
LOCATION, INTERFACE;Li_IVe2CcVtPvTfpR1;CC_VT_PV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var122;120;160;200;4960;4980;5000
LOCATION, INTERFACE;Li_IVe2CcVtPvTfpR2;CC_VT_PV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var123;360;400;440;4960;4980;5000
LOCATION, INTERFACE;Li_IVe2CcVtTfpR1;CC_VT_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var124;120;160;200;5040;5060;5080
LOCATION, INTERFACE;Li_IVe2CcVtTfpR2;CC_VT_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var125;360;400;440;5040;5060;5080
LOCATION, INTERFACE;Li_IVe2CMPhTfpR1;C_M_PH_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var126;120;160;200;5120;5140;5160
LOCATION, INTERFACE;Li_IVe2CMPhTfpR2;C_M_PH_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var127;360;400;440;5120;5140;5160
